"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","03 Dec 1998","564.13","565.22","561.04","562.18"
"NIFTY 500","02 Dec 1998","560.78","566.38","560.78","564.12"
"NIFTY 500","01 Dec 1998","561.90","564.42","559.00","560.75"
"NIFTY 500","30 Nov 1998","556.98","561.95","551.14","561.90"
"NIFTY 500","28 Nov 1998","557.97","561.29","553.62","556.98"
"NIFTY 500","27 Nov 1998","565.54","565.54","556.89","557.97"
"NIFTY 500","26 Nov 1998","576.78","578.08","564.19","565.56"
"NIFTY 500","24 Nov 1998","580.13","581.98","576.10","576.82"
"NIFTY 500","23 Nov 1998","587.71","587.71","578.84","580.12"
"NIFTY 500","21 Nov 1998","-","-","-","587.54"
"NIFTY 500","20 Nov 1998","591.62","593.84","586.32","587.63"
"NIFTY 500","19 Nov 1998","597.18","599.50","591.29","591.62"
"NIFTY 500","18 Nov 1998","586.54","597.73","586.54","597.14"
"NIFTY 500","17 Nov 1998","582.45","586.86","582.02","586.50"
"NIFTY 500","16 Nov 1998","588.06","588.06","581.96","582.33"
"NIFTY 500","13 Nov 1998","592.10","594.91","588.26","588.54"
"NIFTY 500","12 Nov 1998","589.64","592.52","582.83","592.49"
"NIFTY 500","11 Nov 1998","591.23","599.54","589.58","589.63"
"NIFTY 500","10 Nov 1998","587.78","591.33","584.99","591.13"
"NIFTY 500","09 Nov 1998","574.62","591.04","574.62","587.77"
"NIFTY 500","06 Nov 1998","569.04","574.37","569.04","574.14"
"NIFTY 500","05 Nov 1998","564.15","569.83","564.15","568.84"
"NIFTY 500","03 Nov 1998","566.16","567.47","562.39","564.00"
